region,year,y,l,pop,k,labsh,sub_region,countrycode
Africa,1979,49363.59191363791,4.024687503990919,12.07129752173913,208328.2041121773,0.533041731170986,NA,NA
Africa,1980,36072.74420525046,3.0997399137191035,9.101112323529412,152849.2337287454,0.5520033547106911,NA,NA
Africa,1981,36993.86126798742,3.205883091370411,9.363505294117646,162369.54295259365,0.55496705893208,NA,NA
Africa,1982,37342.84162633559,3.2835039197850753,9.633169294117646,170324.44922772577,0.5547633039600709,NA,NA
Africa,1983,37443.536658791934,3.324124642045182,9.9096285,176147.47919239718,0.5526904516360339,NA,NA
Africa,1984,38903.88095182531,3.356106332338908,10.19236032352941,180237.55657420438,0.550000812200939,NA,NA
Africa,1985,40300.43914076861,3.431594420936616,10.480837705882353,183417.71215461282,0.5502918222371269,NA,NA
Africa,1986,41059.10807800293,3.503522638505434,10.774955676470588,185665.01743451288,0.5459012362886878,NA,NA
Africa,1987,42341.102935791016,3.620096443220973,11.074299911764705,187885.03421918084,0.5431677190696492,NA,NA
Africa,1988,44621.306013219495,3.738183806924259,11.377678411764705,190614.12601605584,0.5409737553666619,NA,NA
Africa,1989,46047.12059918572,3.8536945665803026,11.683625970588235,193752.748804429,0.5380406537476707,NA,NA
Africa,1990,47983.47270382152,3.9687617408002125,11.991151970588234,197259.07127829158,0.53862704511951,NA,NA
Africa,1991,48972.351977180035,4.084026208147407,12.299705058823529,200985.3696899414,0.5414229245746837,NA,NA
Africa,1992,49776.24913383933,4.181329898645773,12.60966044117647,205053.73629940258,0.5414947297643212,NA,NA
Africa,1993,49649.031925874595,4.287994003909476,12.922127470588235,208915.9645062615,0.5444569149438072,NA,NA
Africa,1994,50940.221536972946,4.403976845828926,13.238751588235294,213022.31821576288,0.5432064287802753,NA,NA
Africa,1995,52429.62791442871,4.523371102617068,13.560781117647059,217520.59890926586,0.5388223669108223,NA,NA
Africa,1996,55312.051294663375,4.632152765112765,13.88896994117647,223102.3145572438,0.5391950931619195,NA,NA
Africa,1997,57376.607630112594,4.759457601563019,14.223201529411764,228636.98178639132,0.5389274122083888,NA,NA
Africa,1998,59352.15031074075,4.8910836371428825,14.562860352941176,235590.16594740923,0.5398184367839027,NA,NA
Africa,1999,61160.790426815256,5.032498200150097,14.90692788235294,241467.6112204159,0.5367701465592665,NA,NA
Africa,2000,63402.7274017334,5.11295153091059,15.254928705882353,246576.37263399013,0.5318251585259157,NA,NA
Africa,2001,66117.41256893383,5.181485237444148,15.60700944117647,250847.12091064453,0.53623106462114,NA,NA
Africa,2002,69865.45255503934,5.302331444314298,15.96433732352941,255769.06632008273,0.535876197850003,NA,NA
Africa,2003,72819.68097731646,5.397571731906603,16.328735029411764,261340.52101045498,0.5276075548985425,NA,NA
Africa,2004,76936.28102111816,5.58719485735192,16.702565647058822,266839.8563232422,0.5269133834277883,NA,NA
Africa,2005,81234.85949886547,5.710726476219647,17.087782235294117,273508.4157068589,0.5182250860859366,NA,NA
Africa,2006,86289.68513758043,5.89929361805758,17.48478938235294,282465.523473403,0.5125719602493679,NA,NA
Africa,2007,91689.15312823128,6.0955957345226235,17.89390244117647,292042.4110969095,0.4981649382149472,NA,NA
Africa,2008,96578.59728644876,6.2633734297226455,18.31682076470588,303381.425343233,0.4922594498185551,NA,NA
Africa,2009,100605.92270795036,6.407002806882648,18.755481647058822,313858.5685676126,0.5025194138288498,NA,NA
Africa,2010,106368.98120296703,6.5502972298246975,19.21109788235294,324183.8615363626,0.5018727744326872,NA,NA
Africa,2011,110372.08119291418,6.724643405636444,19.684475676470587,334122.6964757583,0.4996553790919921,NA,NA
Africa,2012,114726.91326545266,6.868827713763013,20.174890352941176,344400.4078153722,0.49921703776892495,NA,NA
Africa,2013,119788.70722871668,7.077155456166057,20.68004117647059,355045.6677461512,0.4998875830103369,NA,NA
Africa,2014,125061.61332074333,7.272206082063563,21.19664370588235,366377.6766429228,0.502559145583826,NA,NA
Africa,2015,129337.5326681698,7.444580324541996,21.722161294117647,378054.4851074219,0.5044315080432331,NA,NA
Africa,2016,131820.07232666016,7.695919701829553,22.25580926470588,389128.6294591567,0.50072141605265,NA,NA
Africa,2017,135662.46779677446,7.993026737123728,22.79777411764706,399305.59170352714,0.5021404027938843,NA,NA
Africa,2018,140054.6136313046,8.220162289326682,23.347649705882354,410628.80638930376,0.5049266017535153,NA,NA
Africa,2019,144235.00350772633,8.4428815451615,23.905251147058824,422980.14110610064,0.5049266017535153,NA,NA
Americas,1979,185140.60575727982,5.349773822860285,15.861102909090908,695177.1558948864,0.5129465948451649,NA,NA
Americas,1980,188506.43482506793,5.259981485488622,15.650206391304348,709904.7384935461,0.5140507661777994,NA,NA
Americas,1981,190994.71693486752,5.436016698894293,15.996239217391304,750717.1147673234,0.5161626662897028,NA,NA
Americas,1982,188675.55514393683,5.5818831849357355,16.346907347826086,781131.7275390625,0.5202127487763114,NA,NA
Americas,1983,185944.26772673233,5.662757582962513,16.700950304347824,800012.5737516984,0.5193120305952819,NA,NA
Americas,1984,193784.33195694632,5.844107889934726,17.056684304347826,819289.2978515625,0.5231449824312459,NA,NA
Americas,1985,200410.48368503735,6.123803498304409,17.41277213043478,841260.1131114131,0.5177542696828428,NA,NA
Americas,1986,207100.65278957202,6.326768195823483,17.76860860869565,866808.7859205164,0.5168204268683558,NA,NA
Americas,1987,214290.98918350882,6.550477777162324,18.12409343478261,893647.3957201086,0.516537017148474,NA,NA
Americas,1988,216608.59334663724,6.758517196644908,18.479001739130435,920670.6466966711,0.5156962456910507,NA,NA
Americas,1989,220842.93345575748,6.942705543468827,18.833274173913043,947384.3690557065,0.5135210791359777,NA,NA
Americas,1990,220827.17125934103,7.134959423023721,19.186790695652174,970278.4303668478,0.5128260021624358,NA,NA
Americas,1991,226223.090512483,7.272154314362484,19.539133173913044,994525.7265625,0.5149748092112334,NA,NA
Americas,1992,232162.31962253735,7.371518948803777,19.889892304347825,1018528.1668648098,0.5154219658478446,NA,NA
Americas,1993,242123.42335045856,7.505908236879369,20.238979739130432,1047289.685886549,0.5137625012708746,NA,NA
Americas,1994,254929.99106233017,7.656908012278702,20.58639843478261,1082795.4676460598,0.514839285093805,NA,NA
Americas,1995,257385.72793181046,7.770950335523357,20.932032826086957,1110484.5995244565,0.512570718060369,NA,NA
Americas,1996,266843.55288298236,7.857414887327215,21.275935260869563,1140629.1195652173,0.5118730819743612,NA,NA
Americas,1997,280503.44816788385,8.060690087468728,21.61771639130435,1177096.9475203804,0.5111562130243882,NA,NA
Americas,1998,288284.5994926121,8.230778816277565,21.956321217391302,1214033.9149966033,0.5151678660641545,NA,NA
Americas,1999,291622.84130859375,8.477361462686373,22.29039113043478,1244382.7151834238,0.5169089047805123,NA,NA
Americas,2000,302842.8344089674,8.753308326653812,22.61901452173913,1275403.9651834238,0.5111300932324451,NA,NA
Americas,2001,304550.2162236753,8.872018028212631,22.941702869565216,1303172.9620414402,0.5119243380816086,NA,NA
Americas,2002,307391.63800314197,9.121821308913438,23.258853173913042,1326652.741677989,0.5017029772634092,NA,NA
Americas,2003,314821.58992866846,9.312069977755131,23.57158408695652,1350271.2406589673,0.4943641825862553,NA,NA
Americas,2004,330593.72002377716,9.703969013431799,23.881514217391302,1379949.417459239,0.4882411334825599,NA,NA
Americas,2005,343643.40713102923,9.958511839094369,24.189846260869565,1414126.2554347827,0.4839997071286906,NA,NA
Americas,2006,359997.38785453467,10.278603836246159,24.496829739130433,1453762.1631283967,0.48244444313256635,NA,NA
Americas,2007,377318.50441576086,10.505583264905473,24.80215613043478,1499959.4400475544,0.48363204106040625,NA,NA
Americas,2008,389893.18712848163,10.72222101882748,25.105774391304347,1551531.5738790762,0.4810309500797935,NA,NA
Americas,2009,381122.0326405401,10.81103904221369,25.407472826086956,1590488.5363451086,0.49775230495826056,NA,NA
Americas,2010,404249.3578040082,11.09898951973604,25.70703108695652,1640537.3468919836,0.49252843856811523,NA,NA
Americas,2011,422039.51179305365,11.379594820349112,26.004481478260868,1696935.6637228262,0.49218025155689404,NA,NA
Americas,2012,432695.57336956525,11.625820978828099,26.299723739130435,1754322.840523098,0.4971533197423686,NA,NA
Americas,2013,445207.35141389264,11.817353718306707,26.592215956521738,1812588.7593410327,0.4998551140660825,NA,NA
